match_id,radiant_win,duration,avg_mmr,game_mode,start_time
6880940710,False,1747,2867.0,22,1669213644
6880940415,False,1633,2784.0,4,1669213620
6880940315,False,1995,,22,1669213631
6880940209,False,1851,4197.0,3,1669213616
6880940009,True,1829,506.0,22,1669213613
6880939912,True,1875,,22,1669213621
6880939508,True,1939,,22,1669213610
6880939414,False,1797,2266.0,22,1669213605
6880939412,False,1242,3682.0,22,1669213604
6880939410,False,1788,1655.0,4,1669213605
6880939218,False,1696,,22,1669213590
6880939204,True,2046,1782.0,22,1669213601
6880939202,True,1861,2579.0,22,1669213600
6880939000,True,1748,3334.0,4,1669213594
6880938914,False,1827,3544.0,22,1669213591
6880938910,True,560,3677.0,22,1669213588
6880938901,True,1687,,22,1669213589
6880938806,False,1183,3082.0,22,1669213584
6880938700,False,1611,1389.0,22,1669213568
6880938617,True,1919,2410.0,22,1669213581
6880938612,True,1903,,22,1669213575
6880938610,False,1894,2062.0,22,1669213574
6880938516,False,1402,,22,1669213573
6880938414,False,1355,,4,1669213555
6880938312,False,2010,3674.0,22,1669213569
6880938308,False,1962,4054.0,3,1669213563
6880938019,False,1943,3989.0,22,1669213556
6880938015,False,1742,4226.0,22,1669213549
6880938001,False,1953,,22,1669213566
6880977009,True,659,4250.0,22,1669214771
6880974509,True,788,853.0,22,1669214693
6880974213,False,1021,,22,1669214672
6880972110,True,1037,3405.0,22,1669214621
6880967608,False,551,4058.0,22,1669214471
6880966015,True,1181,4786.0,22,1669214407
6880964906,True,1110,3548.0,3,1669214387
6880963712,True,1086,,22,1669214339
6880961402,True,553,2573.0,22,1669214285
6880960712,True,1280,3824.0,22,1669214243
6880960112,True,940,,22,1669214245
6880959718,True,1378,,4,1669214226
6880959610,False,1360,,22,1669214220
6880958106,True,1078,2833.0,22,1669214180
6880957218,False,1454,5020.0,22,1669214115
6880955508,True,786,5890.0,22,1669214102
6880954810,False,1184,,22,1669214079
6880954418,True,1506,1709.0,22,1669214065
6880953404,True,1623,,22,1669214025
6880953401,True,1348,3137.0,22,1669214020
6880953201,False,660,3944.0,22,1669214030
6880952511,True,665,3262.0,22,1669213996
6880951619,True,936,,22,1669213981
6880951011,False,1690,,22,1669213945
6880950609,True,1322,1834.0,22,1669213952
6880950507,False,1721,4220.0,22,1669213936
6880950413,True,1318,1842.0,22,1669213936
6880950305,False,1121,805.0,22,1669213941
6880950303,True,1682,,22,1669213941
6880950205,True,1577,3689.0,22,1669213940
6880949904,False,1636,,22,1669213930
6880949711,True,1772,1452.0,22,1669213921
6880949704,True,1716,2917.0,3,1669213915
6880949605,True,1421,4373.0,22,1669213916
6880949502,True,960,,22,1669213914
6880949004,True,1457,1836.0,22,1669213900
6880948904,False,1576,3887.0,22,1669213896
6880948209,True,1701,4025.0,22,1669213866
6880948102,True,1373,3212.0,22,1669213874
6880947711,False,1576,3326.0,22,1669213856
6880947709,True,1633,,22,1669213859
6880947619,True,1306,2725.0,22,1669213855
6880947613,True,1629,3602.0,22,1669213854
6880947610,True,1327,959.0,4,1669213851
6880947513,True,1357,1948.0,22,1669213854
6880947409,True,1762,3973.0,22,1669213839
6880947407,False,1740,3414.0,22,1669213825
6880947406,False,1528,,22,1669213814
6880945802,True,1652,,22,1669213804
6880945518,False,1551,3180.0,22,1669213776
6880945517,False,1641,2374.0,22,1669213767
6880945516,True,1778,1381.0,4,1669213774
6880945201,False,1817,2781.0,22,1669213781
6880945011,False,1616,2613.0,22,1669213760
6880944804,False,1835,2941.0,22,1669213769
6880944710,True,966,,22,1669213765
6880944500,True,1275,,22,1669213759
6880944202,True,1490,,4,1669213750
6880943708,True,1788,3734.0,22,1669213736
6880943106,True,1249,3167.0,22,1669213719
6880943009,True,1664,,22,1669213701
6880942906,False,1146,3810.0,22,1669213716
6880942903,True,1115,1803.0,22,1669213715
6880942901,True,1811,2709.0,22,1669213713
6880942811,False,1959,3381.0,22,1669213709
6880942716,True,1678,,22,1669213710
6880942714,True,1805,3633.0,22,1669213704
6880942705,True,1899,1851.0,22,1669213695
6880942614,True,1903,,22,1669213704
6880942416,True,1891,,22,1669213696
6880942307,False,1599,3495.0,22,1669213689
6880941504,True,1714,2981.0,22,1669213670
6880941500,True,1911,,22,1669213670
6880941319,True,1974,3231.0,22,1669213659
6880941315,True,1810,3738.0,22,1669213659
6880941117,False,1937,3341.0,3,1669213655
